latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
24.288223,72.17252,143.0,19800,Asia/Kolkata,GMT+5:30

time,precipitation_sum (mm),temperature_2m_mean (°C)
2023-06-01,0.00,31.1
2023-06-02,1.20,31.9
2023-06-03,0.00,32.5
2023-06-04,0.00,31.6
2023-06-05,0.20,32.0
2023-06-06,0.00,32.3
2023-06-07,0.00,32.4
2023-06-08,0.00,33.6
2023-06-09,0.00,33.5
2023-06-10,0.00,34.0
2023-06-11,0.00,34.0
2023-06-12,0.00,33.2
2023-06-13,1.40,32.3
2023-06-14,0.50,32.3
2023-06-15,10.30,29.5
2023-06-16,71.20,27.5
2023-06-17,231.40,26.0
2023-06-18,12.80,27.9
2023-06-19,0.40,29.0
2023-06-20,0.20,29.1
2023-06-21,0.30,29.4
2023-06-22,0.20,29.4
2023-06-23,0.00,29.4
2023-06-24,0.00,30.2
2023-06-25,4.10,30.0
2023-06-26,1.40,28.8
2023-06-27,11.80,28.2
2023-06-28,2.40,28.4
2023-06-29,25.70,27.4
2023-06-30,24.30,26.9
2023-07-01,2.60,27.3
2023-07-02,1.00,29.4
2023-07-03,0.50,30.1
2023-07-04,0.30,30.8
2023-07-05,0.00,30.2
2023-07-06,5.90,28.5
2023-07-07,14.60,27.3
2023-07-08,12.70,27.8
2023-07-09,32.00,27.1
2023-07-10,22.00,27.6
2023-07-11,2.00,29.7
2023-07-12,0.10,29.6
2023-07-13,0.00,29.7
2023-07-14,0.00,29.8
2023-07-15,1.80,29.2
2023-07-16,4.80,29.0
2023-07-17,0.50,29.9
2023-07-18,0.20,29.7
2023-07-19,0.80,29.3
2023-07-20,47.20,28.7
2023-07-21,31.00,28.5
2023-07-22,18.50,28.8
2023-07-23,24.50,28.3
2023-07-24,4.90,28.2
2023-07-25,13.50,28.0
2023-07-26,9.00,28.4
2023-07-27,4.50,28.5
2023-07-28,8.00,28.0
2023-07-29,23.00,27.0
2023-07-30,4.10,27.6
2023-07-31,5.30,27.1
2023-08-01,3.40,27.6
2023-08-02,1.60,28.1
2023-08-03,1.60,27.9
2023-08-04,0.80,28.2
2023-08-05,2.00,28.4
2023-08-06,0.80,28.0
2023-08-07,1.20,27.5
2023-08-08,1.90,27.8
2023-08-09,1.90,27.7
2023-08-10,3.40,27.8
2023-08-11,1.60,27.8
2023-08-12,2.60,27.8
2023-08-13,1.10,27.4
2023-08-14,1.10,27.9
2023-08-15,1.30,27.9
2023-08-16,0.60,27.8
2023-08-17,0.40,28.0
2023-08-18,0.50,27.5
2023-08-19,0.00,28.1
2023-08-20,3.30,27.3
2023-08-21,4.60,27.3
2023-08-22,0.40,28.5
2023-08-23,0.10,28.1
2023-08-24,1.30,28.1
2023-08-25,0.90,28.1
2023-08-26,1.30,27.9
2023-08-27,0.30,28.0
2023-08-28,0.40,28.1
2023-08-29,0.50,28.1
2023-08-30,0.20,27.9
2023-08-31,0.00,28.2
2023-09-01,0.00,28.4
2023-09-02,0.00,28.4
2023-09-03,0.10,28.5
2023-09-04,0.00,28.1
2023-09-05,0.00,28.7
2023-09-06,0.00,30.3
2023-09-07,0.10,30.4
2023-09-08,0.30,30.2
2023-09-09,0.00,30.1
2023-09-10,0.00,29.6
2023-09-11,0.20,29.4
2023-09-12,0.10,29.0
2023-09-13,0.00,29.1
2023-09-14,0.00,29.6
2023-09-15,12.90,28.6
2023-09-16,12.20,29.4
2023-09-17,44.20,25.9
2023-09-18,33.90,25.4
2023-09-19,11.10,26.1
2023-09-20,2.60,27.3
2023-09-21,0.20,28.3
2023-09-22,0.30,28.4
2023-09-23,2.10,28.6
2023-09-24,8.40,27.6
2023-09-25,6.00,27.2
2023-09-26,0.70,27.8
2023-09-27,5.70,28.8
2023-09-28,0.10,29.0
2023-09-29,0.00,28.7
2023-09-30,0.00,28.4
2023-10-01,0.00,28.5
2023-10-02,0.00,28.3
2023-10-03,0.00,26.8
2023-10-04,0.00,26.5
2023-10-05,0.00,25.9
2023-10-06,0.00,25.6
2023-10-07,0.00,25.9
2023-10-08,0.00,26.4
2023-10-09,0.00,27.5
2023-10-10,0.00,26.9
2023-10-11,0.00,27.4
2023-10-12,0.00,27.7
2023-10-13,0.00,27.7
2023-10-14,0.00,28.0
2023-10-15,0.00,27.6
2023-10-16,0.20,26.8
2023-10-17,0.00,26.2
2023-10-18,0.00,27.0
2023-10-19,0.00,27.0
2023-10-20,0.00,27.4
2023-10-21,0.00,26.8
2023-10-22,0.00,26.4
2023-10-23,0.00,27.2
2023-10-24,0.00,26.0
2023-10-25,0.00,25.6
2023-10-26,0.00,25.5
2023-10-27,0.00,25.1
2023-10-28,0.00,25.3
2023-10-29,0.00,26.1
2023-10-30,0.00,27.1
2023-10-31,0.00,26.7
2023-11-01,0.00,26.9
2023-11-02,0.00,26.1
2023-11-03,0.00,25.8
2023-11-04,0.00,25.8
2023-11-05,0.00,26.0
2023-11-06,0.00,26.0
2023-11-07,0.00,25.9
2023-11-08,0.00,26.1
2023-11-09,0.00,25.7
2023-11-10,0.00,25.8
2023-11-11,0.00,25.0
2023-11-12,0.00,23.4
2023-11-13,0.00,23.4
2023-11-14,0.00,23.1
2023-11-15,0.00,23.6
2023-11-16,0.00,23.5
2023-11-17,0.00,23.4
2023-11-18,0.00,22.7
2023-11-19,0.00,23.2
2023-11-20,0.00,25.0
2023-11-21,0.00,25.2
2023-11-22,0.00,23.3
2023-11-23,0.00,22.3
2023-11-24,0.00,22.5
2023-11-25,0.00,24.1
2023-11-26,46.90,21.2
2023-11-27,18.40,19.3
2023-11-28,0.00,19.8
2023-11-29,0.00,20.3
2023-11-30,0.00,20.9
2023-12-01,0.00,21.2
